whisky_id,source_url,flavor_vector
W001453,https://www.whiskynotes.be/search/pike-creek-21yo-double-barrel-speyside-cask-finish-(2017)-tasting-notes-review,"{""complex"": 1}"
W001418,https://www.whiskynotes.be/search/pike-creek-21yo-finished-in-oloroso-sherry-casks-(2019)-tasting-notes-review,"{""sherry"": 1}"
W000593,https://www.whiskynotes.be/search/glenfiddich-ipa-cask-finish-experimental-series-no.-1-tasting-notes-review,"{""complex"": 1}"
W001791,https://www.whiskynotes.be/search/jim-beam-distillers-masterpiece-px-sherry-cask-finish-tasting-notes-review,"{""complex"": 1}"
W001498,https://www.whiskynotes.be/search/crown-royal-noble-collection-french-oak-cask-finished-tasting-notes-review,"{""complex"": 1}"
W001458,https://www.whiskynotes.be/search/crown-royal-noble-collection-wine-barrel-finished-tasting-notes-review,"{""complex"": 1}"
W000405,https://www.whiskynotes.be/search/lohin-mckinnon-wine-barrel-finished-(black-sage)-tasting-notes-review,"{""complex"": 1}"
W000096,https://www.whiskynotes.be/search/benriach-17yo-solstice-2nd-peated-port-finish-tasting-notes-review,"{""complex"": 1}"
W000110,https://www.whiskynotes.be/search/benriach-17yo-solstice-1st-peated-port-finish-tasting-notes-review,"{""complex"": 1}"
W000697,https://www.whiskynotes.be/search/teeling-silver-reserve-21yo-sauternes-finish-tasting-notes-review,"{""complex"": 1}"
W000147,https://www.whiskynotes.be/search/bunnahabhain-14yo-2003-pedro-ximenez-finish-tasting-notes-review,"{""complex"": 1}"
W000202,https://www.whiskynotes.be/search/two-brewers-special-finishes-(all-releases)-tasting-notes-review,"{""complex"": 1}"
W000242,https://www.whiskynotes.be/search/glencadam-14yo-oloroso-sherry-cask-finish-tasting-notes-review,"{""complex"": 1}"
W001461,https://www.whiskynotes.be/search/pike-creek-15yo-cabernet-sauvingon-finish-tasting-notes-review,"{""complex"": 1}"
W001269,https://www.whiskynotes.be/search/teeling-single-grain-(wine-cask-finish)-tasting-notes-review,"{""complex"": 1}"
W000176,https://www.whiskynotes.be/search/two-brewers-release-09-special-finishes-tasting-notes-review,"{""complex"": 1}"
W000192,https://www.whiskynotes.be/search/two-brewers-release-02-special-finishes-tasting-notes-review,"{""complex"": 1}"
W000230,https://www.whiskynotes.be/search/two-brewers-release-15-special-finishes-tasting-notes-review,"{""complex"": 1}"
W000278,https://www.whiskynotes.be/search/two-brewers-release-28-special-finishes-tasting-notes-review,"{""complex"": 1}"
